病気の治療について誤っているのはどれか。,心理療法は向精神薬を用いる治療である。,理学療法は運動機能の回復を目的とする。,化学療法は薬物治療の一つである。,温熱療法はがん細胞の温度を上昇させて死滅させる方法である。,言語聴覚療法はことばによるコミュニケーションに障害があるものを対象とする。,1,0,,
臨床工学技士が行うことができないのはどれか。,人工心肺業務における留置カテーテルからの採血,人工心肺装置の運転条件の変更,除細動器の操作条件の設定,人工呼吸業務における気管挿管,条件付きMRI対応ペースメーカの検査前確認,4,0,,,,
水溶性ビタミンはどれか。　a.ビタミンA　b.ビタミンB6　c.ビタミンC　d.ビタミンD　e.ビタミンE,ab,ae,bc,cd,de,3,0,,
高齢者の薬物治療について誤っているのはどれか。,薬物誘発性低血圧が生じやすい。,肝での薬物代謝が低下している。,脂溶性薬物の半減期が短縮する。,水溶性薬物の血中濃度が上昇する。,ベンゾジアゼピン系薬物への感受性が高い。,3,0,,
下腿浮腫の原因となるのはどれか。　a.胃潰瘍　b.肺炎　c.深部静脈血栓症　d.ネフローゼ症候群　e.心不全,abc,abe,ade,bcd,cde,5,0,,
正しいのはどれか。,嚥下するとき喉頭蓋は開く。,右肺は2葉からなる。,吸気時に横隔膜は弛緩する。,胸膜は臓側胸膜と壁側胸膜からなる。,左主気管支は右主気管支に比べ、より体の長軸方向に分岐する。,4,0,,
心臓について誤っているのはどれか。,洞房結節は右房に存在する。,右冠動脈は腕頭動脈から分岐する。,三尖弁は右房と右室との間に存在する。,乳頭筋は心室内に存在する。,上行大動脈は主肺動脈の背側を走行する。,2,医学概論,,
バソプレシンが作用するのはネフロンのどの部位か。,糸球体,近位尿細管,ヘンレ係蹄,遠位尿細管,集合管,5,医学概論,,
高齢者に現れやすい歩行の特徴はどれか。,歩幅が大きくなる。,後傾姿勢になる。,すり足歩行になる。,上肢の振りが大きくなる。,地面を蹴り出す力が強くなる。,3,医学概論,,
チアノーゼについて誤っているのはどれか。,皮膚や粘膜の色調は紫青色を呈する。,口唇、耳朶、指爪が好発部位である。,中心性と末梢性に分類される。,動脈血酸素飽和度低下が原因となる。,貧血によって増強する。,5,臨床医学総論,,
慢性閉塞性肺疾患(COPD)の胸部X線画像所見で正しいのはどれか。　a.横隔膜の平低化　b.胸骨後腔の拡大　c.心陰影の拡大　d.肺血管陰影の増強　e.肺門リンパ節の腫大,ab,ae,bc,cd,de,1,臨床医学総論,,
急性肺血栓塞栓症について正しいのはどれか。,日本では女性よりも男性に多い。,深部動脈血栓が原因となる。,D-ダイマーが低値を呈する。,呼吸性アルカローシスを呈する。,胸部造影CTよりも換気シンチグラムが有用である。,4,臨床医学総論,,
